CODIGO_ACCIDENTE,FECHA,CODIGO_CAUSA
4402094,13/01/2015,102
4402092,13/01/2015,409
4402095,13/01/2015,157
4402095,13/01/2015,157
4402091,13/01/2015,157
4402091,13/01/2015,157
4402091,13/01/2015,157
4402104,13/01/2015,142
4402104,13/01/2015,142
4402099,13/01/2015,121
4402121,13/01/2015,119
4402130,13/01/2015,121
4402140,13/01/2015,157
4402142,13/01/2015,121
4402145,13/01/2015,121
4402150,13/01/2015,134
4402152,13/01/2015,157
4404919,13/01/2015,112
4402013,13/01/2015,411
4402075,13/01/2015,116
4402139,13/01/2015,104
4402139,13/01/2015,409
4402098,13/01/2015,409
4402109,13/01/2015,157
4402100,14/01/2015,116
4402149,14/01/2015,106
4402158,14/01/2015,139
4402160,14/01/2015,157
4403584,14/01/2015,157
4403584,14/01/2015,157
4402039,14/01/2015,132
4402080,14/01/2015,157
4402081,14/01/2015,306
4402085,14/01/2015,112
4402082,14/01/2015,157
4402082,14/01/2015,98
4402089,14/01/2015,93
4402097,14/01/2015,145
4402096,14/01/2015,157
4402096,14/01/2015,157
4402101,14/01/2015,411
4402102,14/01/2015,121
4402100,14/01/2015,121
4402106,14/01/2015,306
4402107,14/01/2015,121
4402108,14/01/2015,112
4402110,14/01/2015,106
4402113,14/01/2015,157
4402113,14/01/2015,157
4402111,14/01/2015,141
4402111,14/01/2015,134
4402116,14/01/2015,157
4402114,14/01/2015,121
4402117,14/01/2015,157
4402115,14/01/2015,103
4402118,14/01/2015,121
4402119,14/01/2015,127
4402120,14/01/2015,145
4402122,14/01/2015,122
4402125,14/01/2015,121
4402124,14/01/2015,103
4402127,14/01/2015,121
4402123,14/01/2015,122
4402126,14/01/2015,112
4402126,14/01/2015,112
4402131,14/01/2015,132
4402128,14/01/2015,121
4402129,14/01/2015,404
4402129,14/01/2015,134
4402135,14/01/2015,143
4402132,14/01/2015,103
4402133,14/01/2015,157
4402133,14/01/2015,157
4402137,14/01/2015,121
4402138,14/01/2015,103
4402141,14/01/2015,103
4402144,14/01/2015,121
4402143,14/01/2015,119
4402146,14/01/2015,143
4402147,14/01/2015,103
4402147,14/01/2015,121
4402148,14/01/2015,112
4402151,14/01/2015,139
4402149,14/01/2015,102
4402154,14/01/2015,121
4402153,14/01/2015,157
4402153,14/01/2015,157
4402156,14/01/2015,157
4402155,14/01/2015,119
4402155,14/01/2015,121
4402158,14/01/2015,134
4402157,14/01/2015,103
4402162,14/01/2015,157
4402159,14/01/2015,102
4402160,14/01/2015,103
4402161,14/01/2015,103
4402164,14/01/2015,112
4402163,14/01/2015,112
4402166,14/01/2015,157
4402165,14/01/2015,103
4402167,14/01/2015,121
4402168,14/01/2015,121
4402134,14/01/2015,112
4402112,14/01/2015,139
4402169,14/01/2015,121
4402172,14/01/2015,134
4402174,14/01/2015,139
4402192,14/01/2015,103
4402189,14/01/2015,121
4402194,14/01/2015,409
4402196,14/01/2015,409
4402193,14/01/2015,121
4402199,14/01/2015,103
4402216,14/01/2015,90
4402231,14/01/2015,143
4402234,14/01/2015,157
4402242,14/01/2015,157
4402277,14/01/2015,121
4402281,14/01/2015,112
4402286,14/01/2015,103
4402288,14/01/2015,157
4402288,14/01/2015,157
4402291,14/01/2015,103
4402292,14/01/2015,112
4402744,14/01/2015,506
4402177,15/01/2015,121
4402186,15/01/2015,411
4402190,15/01/2015,114
4402195,15/01/2015,411
4402253,15/01/2015,139
4402267,15/01/2015,102
4408037,15/01/2015,121
4402170,15/01/2015,145
4402175,15/01/2015,157
4402175,15/01/2015,106
4402177,15/01/2015,93
4402178,15/01/2015,98
4402182,15/01/2015,157
4402180,15/01/2015,411
4402179,15/01/2015,112
4402179,15/01/2015,157
4402184,15/01/2015,409
4402181,15/01/2015,112
4402183,15/01/2015,139
4402187,15/01/2015,409
4402185,15/01/2015,112
4402186,15/01/2015,409
4402188,15/01/2015,103
4402190,15/01/2015,157
4402190,15/01/2015,112
4402191,15/01/2015,116
4402191,15/01/2015,157
4402195,15/01/2015,157
4402195,15/01/2015,409
4402198,15/01/2015,103
4402197,15/01/2015,306
4402202,15/01/2015,157
4402200,15/01/2015,121
4402201,15/01/2015,103
4402201,15/01/2015,157
4402205,15/01/2015,103
4402203,15/01/2015,119
4402203,15/01/2015,121
4402208,15/01/2015,121
4402204,15/01/2015,411
4402211,15/01/2015,132
4402207,15/01/2015,121
4402210,15/01/2015,157
4402210,15/01/2015,134
4402212,15/01/2015,134
4402209,15/01/2015,121
4402213,15/01/2015,97
4402214,15/01/2015,103
4402215,15/01/2015,106
4402218,15/01/2015,106
4402217,15/01/2015,103
4402219,15/01/2015,121
4402220,15/01/2015,122
4402223,15/01/2015,121
4402222,15/01/2015,98
4402221,15/01/2015,121
4402224,15/01/2015,145
4402225,15/01/2015,103
4402226,15/01/2015,103
4402230,15/01/2015,121
4402227,15/01/2015,157
4402227,15/01/2015,157
4402229,15/01/2015,103
4402228,15/01/2015,103
4402233,15/01/2015,157
4402233,15/01/2015,157
4402237,15/01/2015,157
4402235,15/01/2015,157
4402235,15/01/2015,157
4402236,15/01/2015,128
4402236,15/01/2015,121
4402239,15/01/2015,132
4402238,15/01/2015,121
4402241,15/01/2015,121
4402240,15/01/2015,121
4402243,15/01/2015,112
4402245,15/01/2015,121
4402246,15/01/2015,157
4402249,15/01/2015,157
4402247,15/01/2015,157
4402250,15/01/2015,127
4402255,15/01/2015,121
4402253,15/01/2015,157
4402253,15/01/2015,102
4402258,15/01/2015,121
4402267,15/01/2015,152
4402272,15/01/2015,157
4402276,15/01/2015,411
4402275,15/01/2015,103
4402293,15/01/2015,121
4402296,15/01/2015,157
4402296,15/01/2015,157
4402297,15/01/2015,103
4402305,15/01/2015,121
4402309,15/01/2015,154
4402314,15/01/2015,409
4402364,15/01/2015,103
4402390,15/01/2015,306
4402409,15/01/2015,121
4402460,15/01/2015,103
4403203,15/01/2015,103
4402171,15/01/2015,97
4402176,15/01/2015,98
4402274,16/01/2015,103
4402284,16/01/2015,93
4402308,16/01/2015,127
4402321,16/01/2015,132
4402206,16/01/2015,121
4402248,16/01/2015,116
4402251,16/01/2015,121
4402252,16/01/2015,157
4402254,16/01/2015,105
4402256,16/01/2015,122
4402256,16/01/2015,121
4402261,16/01/2015,157
4402259,16/01/2015,119
4402264,16/01/2015,104
4402266,16/01/2015,121
4402268,16/01/2015,122
4402269,16/01/2015,121
4402270,16/01/2015,127
4402271,16/01/2015,411
4402273,16/01/2015,103
4402274,16/01/2015,98
4402274,16/01/2015,98
4402278,16/01/2015,116
4402278,16/01/2015,98
4402280,16/01/2015,157
4402282,16/01/2015,103
4402283,16/01/2015,157
4402284,16/01/2015,99
4402285,16/01/2015,121
4402287,16/01/2015,154
4402287,16/01/2015,306
4402289,16/01/2015,106
4402290,16/01/2015,304
4402295,16/01/2015,121
4402294,16/01/2015,121
4402298,16/01/2015,127
4402300,16/01/2015,104
4402299,16/01/2015,121
4402301,16/01/2015,157
4402302,16/01/2015,157
4402302,16/01/2015,157
4402303,16/01/2015,121
4402304,16/01/2015,157
4402304,16/01/2015,157
4402308,16/01/2015,104
4402307,16/01/2015,103
4402306,16/01/2015,121
4402306,16/01/2015,121
4402306,16/01/2015,121
4402310,16/01/2015,123
4402313,16/01/2015,157
